Chegada,Status,Porto,Sentido,Peso,Quantidade
17/03/2025 17:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1530 15300,1
18/02/2025,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,5100 19104,1
18/02/2025,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,7500,1
18/02/2025,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,2199,1
18/02/2025 01:00:00,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp,7,1
18/02/2025 05:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,51900,1
18/02/2025 05:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,8526,1
18/02/2025 06:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,14600,1
18/02/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
18/02/2025 10:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp,9720,1
18/02/2025 10:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp,66000; 63000,2
18/02/2025 10:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,6500,1
18/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
18/02/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,15300 1530,1
18/02/2025 13:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,9400,1
18/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
19/01/2025 19:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,35727,1
19/02/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,3600 3600; 5500 5500,2
19/02/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
19/02/2025 05:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,8715,1
19/02/2025 07:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,10149,1
19/02/2025 08:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,67300,1
19/02/2025 08:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,60000,1
19/02/2025 09:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 12600,1
19/02/2025 11:48:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,50000,1
19/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
19/02/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1620 15300,1
19/02/2025 17:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,7200 7200,1
19/02/2025 18:00:00,PRIORIDADE C3,PORTO_DE_SANTOS,Exp,52,1
19/02/2025 22:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,15000,1
19/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
20/01/2025 07:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,49000,1
20/02/2025,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp/Exp; Exp,300 21663; 22779,2
20/02/2025,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp/Exp,21000 31500,1
20/02/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
20/02/2025 06:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,65000,1
20/02/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp; Exp,1; 1,2
20/02/2025 06:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,3559,1
20/02/2025 06:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,1,1
20/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,10800 3600; 4536 360,2
20/02/2025 07:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,67310,1
20/02/2025 07:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,40732,1
20/02/2025 07:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp,5755,1
20/02/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp,2700,1
20/02/2025 10:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,10720,1
20/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
20/02/2025 15:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,12600 4500; 18000 1800,2
20/02/2025 22:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,22139,1
20/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
20/03/2025 20:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
21/01/2025 16:12:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,35002,1
21/02/2025 01:00:00,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2 2; 500 500,2
21/02/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,18000 1800,1
21/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp,2772,1
21/02/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,3600 3600; 1800 1800,2
21/02/2025 08:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,67400,1
21/02/2025 10:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,9000,1
21/02/2025 11:29:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
21/02/2025 13:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,18140,1
21/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp; Imp/Exp,3600; 1800 1800,2
21/03/2025 16:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
22/02/2025,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,27000 1800; 12600 4500,2
22/02/2025,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,18784,1
22/02/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
22/02/2025 05:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,13793,1
22/02/2025 06:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,6320,1
22/02/2025 07:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,38500,1
22/02/2025 08:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,27609,1
22/02/2025 10:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,18666 126,1
22/02/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,16956 486,1
22/02/2025 18:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,66000,1
22/02/2025 19:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,63000,1
22/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
22/03/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
