Mercadoria,Status,Porto,Sentido,Chegada,Peso,Quantidade
"SEBO BOVINO,EM BRUTO",ESPERADOS,PORTO_DE_PARANAGUA,Exp,21/02/2025 08:00,"8.927,000 Tons.",1
SODA CÁUSTICA,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,12/02/2025 22:15,"7.660,000 Tons.",1
SODA CÁUSTICA,ESPERADOS,PORTO_DE_PARANAGUA,Imp,20/02/2025 19:00,"20.048,000 Tons.",1
SOJA,AO LARGO,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,17/02/2025 00:01; 17/02/2025 00:01; 15/02/2025 07:00; 15/02/2025 01:48; 15/02/2025 20:00; 12/02/2025 16:00; 12/02/2025 03:30; 31/12/2024 01:24; 11/02/2025 14:30; 11/02/2025 04:18; 10/02/2025 11:36; 07/02/2025 00:01; 05/02/2025 10:07; 01/02/2025 00:01; 31/01/2025 10:18; 28/01/2025 23:42; 19/12/2024 12:30,"64.914,000 Tons.; 66.000,000 Tons.; 70.012,000 Tons.; 66.200,000 Tons.; 69.500,000 Tons.; 58.250,000 Tons.; 65.000,000 Tons.; 72.370,000 Tons.; 69.800,000 Tons.; 65.258,000 Tons.; 66.000,000 Tons.; 54.900,000 Tons.; 65.000,000 Tons.; 66.960,000 Tons.; 63.000,000 Tons.; 62.500,000 Tons.; 69.150,000 Tons.",17
SOJA,ATRACADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp,08/02/2025 08:01; 02/02/2025 14:12; 02/02/2025 10:00,"65.000,000 Tons.; 69.300,000 Tons.; 63.000,000 Tons.",3
SOJA,DESPACHADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp,12/02/2025 17:15; 02/02/2025 05:00; 22/01/2025 11:24,"67.940,000 Tons.; 66.450,000 Tons.; 69.620,000 Tons.",3
SOJA,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,28/02/2025 09:00; 27/02/2025 20:00; 27/02/2025 15:00; 27/02/2025 08:00; 25/02/2025 20:00; 25/02/2025 02:00; 23/02/2025 01:00; 22/02/2025 20:00; 22/02/2025 08:00; 21/02/2025 10:00; 20/02/2025 20:00; 20/02/2025 20:00; 18/02/2025 19:00; 17/02/2025 12:00; 10/02/2025 12:00,"63.500,000 Tons.; 68.950,000 Tons.; 69.000,000 Tons.; 63.000,000 Tons.; 60.000,000 Tons.; 65.000,000 Tons.; 60.000,000 Tons.; 69.300,000 Tons.; 69.550,000 Tons.; 63.000,000 Tons.; 63.000,000 Tons.; 68.000,000 Tons.; 66.000,000 Tons.; 66.000,000 Tons.; 63.000,000 Tons.",15
SOJA,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,06/02/2025 15:36,"68.086,000 Tons.",1
SULFATO DE AMONIO,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp; Imp,28/01/2025 11:30; 28/01/2025 11:30; 23/01/2025 13:48; 14/01/2025 16:00; 14/01/2025 16:00,"58.200,000 Tons.; 10.600,000 Tons.; 68.000,000 Tons.; 31.800,000 Tons.; 23.700,000 Tons.",5
SULFATO DE AMONIO,ATRACADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp,02/01/2025 17:30; 21/12/2024 04:30; 21/12/2024 04:30,"58.671,000 Tons.; 15.000,000 Tons.; 53.223,000 Tons.",3
"SUPERFOSFATO, MINERAIS OU QUIM",ESPERADOS,PORTO_DE_PARANAGUA,Imp,01/03/2025 12:00,"21.557,000 Tons.",1
UREIA,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp,03/03/2025 13:00; 03/03/2025 13:00; 26/02/2025 10:00; 18/02/2025 12:00,"6.200,000 Tons.; 10.000,000 Tons.; 27.500,000 Tons.; 60.000,000 Tons.",4
VEICULOS,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,15/02/2025 16:00,93 Movs.,1
VEICULOS E CARROS BLINDADOS DE,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,16/02/2025 04:24,"824,000 Tons.",1
