Mercadoria,Status,Porto,Sentido,Chegada,Quantidade
FARELO DE SOJA,ATRACADOS,PORTO_DE_PARANAGUA,Exp,09/02/2025 07:30,1
FARELO DE SOJA,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,29/01/2025 19:00,1
FARELO DE SOJA,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp; Exp; Exp,02/03/2025 13:00; 02/03/2025 07:00; 28/02/2025 09:00; 28/02/2025 00:01; 27/02/2025 09:00; 24/02/2025 07:00; 20/02/2025 10:00,7
FERTILIZ.MINER.QUIM.C/NITROGEN,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp; Imp,16/02/2025 00:30; 15/02/2025 17:10; 27/01/2025 20:12,3
FERTILIZ.MINER.QUIM.C/NITROGEN,ATRACADOS,PORTO_DE_PARANAGUA,Imp,14/01/2025 04:54,1
FERTILIZ.MINER.QUIM.C/NITROGEN,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,19/02/2025 08:00; 15/02/2025 08:00,2
FERTILIZANTES,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp; Imp,11/01/2025 15:16:00; 19/01/2025 19:00:00; 16/02/2025 12:50:00; 17/02/2025; 17/02/2025 15:00:00; 18/02/2025; 18/02/2025 10:00:00; 20/02/2025 07:00:00; 20/02/2025 10:00:00; 21/02/2025 10:00:00; 21/02/2025 13:00:00; 22/02/2025; 22/02/2025 05:00:00,13
FOSFATO MONO OU DISSODICO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,22/02/2025 08:00,1
FOSFATOS DE CALCIO,ATRACADOS,PORTO_DE_PARANAGUA,Imp,15/02/2025 02:06,1
FUEL-OIL,ESPERADOS,PORTO_DE_PARANAGUA,Exp,27/02/2025 07:00,1
FUEL-OIL (OLEO COMBUSTIVEL),ESPERADOS,PORTO_DE_PARANAGUA,Exp,28/02/2025 07:00,1
FUEL-OIL (OLEO COMBUSTIVEL),PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,06/02/2025 09:18,1
GAS LIQUEFEITO,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp; Imp,08/02/2025 13:42:00; 27/02/2025 16:18:00,2
GASOLINA COMUM,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,17/02/2025,1
GASOLINAS,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,13/02/2025 22:30,1
GASOLINAS,ESPERADOS,PORTO_DE_PARANAGUA,Imp,19/02/2025 07:00,1
GLP,ESPERADOS,PORTO_DE_PARANAGUA,Imp,19/02/2025 07:00,1
GRAN.LIQUIDO NAO ESPECIF,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp; Imp; Imp; Imp; Imp; Exp; Exp; Imp,06/01/2025 09:30:00; 14/02/2025 02:30:00; 17/02/2025 16:00:00; 18/02/2025; 19/02/2025 07:00:00; 20/02/2025; 20/02/2025 06:00:00; 22/02/2025 06:00:00,8
GRAN.LIQUIDO NAO ESPECIF,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp; Exp,17/02/2025; 23/02/2025 07:00:00,2
GRAN.LIQUIDO NAO ESPECIF GRAN.LIQUIDO NAO ESPECIF,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp/Exp,20/02/2025,1
GRAN.SOLIDO NAO ESPECIF,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,22/02/2025 19:00:00,1
GRAN.SOLIDO NAO ESPECIF,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,19/02/2025 22:00:00,1
MALTE,ATRACADOS,PORTO_DE_PARANAGUA,Imp,16/02/2025 12:00,1
MAP,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp; Imp,17/02/2025 00:10; 17/02/2025 00:10; 28/01/2025 03:00,3
MAP,ATRACADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp,19/01/2025 06:00; 18/01/2025 09:00; 18/01/2025 09:00; 11/01/2025 22:12,4
MAP,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp,15/03/2025 19:44; 22/02/2025 08:00; 20/02/2025 08:00,3
