Mercadoria,Sentido,Chegada,Status,Quantidade,Porto
FARELO DE SOJA,Exp,02/03/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
"SUPERFOSFATO, MINERAIS OU QUIM",Imp,01/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,28/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,28/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,28/02/2025 09:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,28/02/2025 09:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SAL MARINHO,Imp,28/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FUEL-OIL (OLEO COMBUSTIVEL),Exp,28/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
NAFTAS PARA PETROQUIMICA,Imp,28/02/2025 06:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,28/02/2025 00:01,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,27/02/2025 21:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,27/02/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,27/02/2025 17:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,27/02/2025 15:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,27/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,27/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,27/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,27/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,27/02/2025 09:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,27/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DIESEL,Imp,27/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FUEL-OIL,Exp,27/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,27/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
"REATORES NUCLEARES, CALDEIRAS,",Imp/Exp,27/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DE SOJA,Exp,26/02/2025 21:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,26/02/2025 13:00,ESPERADOS,0,PORTO_DE_PARANAGUA
UREIA,Imp,26/02/2025 10:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,26/02/2025 05:00,ESPERADOS,0,PORTO_DE_PARANAGUA
AUTOMÓVEIS DE PASSAGEIROS E OU,Imp/Exp,26/02/2025 01:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DE SOJA,Exp,25/02/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,25/02/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,25/02/2025 13:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,25/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
AÇÚCAR,Exp,25/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,25/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DIESEL,Imp,25/02/2025 06:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,25/02/2025 02:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,24/02/2025 18:00,ESPERADOS,0,PORTO_DE_PARANAGUA
PASTA QUIM.MADEIRA DE N/CONIF.,Exp,24/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DE SOJA,Exp,24/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,24/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,24/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
AUTOMÓVEIS DE PASSAGEIROS E OU,Imp/Exp,24/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OUTS.ACUCARES,Exp,24/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
PASTA QUIM.MADEIRA DE N/CONIF.,Exp,23/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,23/02/2025 05:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,23/02/2025 01:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,22/02/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DE SOJA,Exp,22/02/2025 19:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DIESEL,Imp,22/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,22/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
MAP,Imp,22/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FOSFATO MONO OU DISSODICO,Imp,22/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,21/02/2025 19:00,ESPERADOS,0,PORTO_DE_PARANAGUA
ALIMET,Imp,21/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
"SEBO BOVINO,EM BRUTO",Exp,21/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,21/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,21/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,21/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,20/02/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,20/02/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DE SOJA,Exp,20/02/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,20/02/2025 19:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OUTROS OLEOS DE DENDE,Imp,20/02/2025 19:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SODA CÁUSTICA,Imp,20/02/2025 19:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,20/02/2025 10:00,ESPERADOS,0,PORTO_DE_PARANAGUA
MAP,Imp,20/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEOS BRUTOS DE PETROLEO,Imp,20/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,20/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,19/02/2025 19:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,19/02/2025 14:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,19/02/2025 14:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DIESEL,Imp,19/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,19/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,19/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
GLP,Imp,19/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,19/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
"REATORES NUCLEARES, CALDEIRAS,",Imp/Exp,19/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
ALCOOL ETILICO,Exp,19/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
GASOLINAS,Imp,19/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,19/02/2025 06:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,19/02/2025 05:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,19/02/2025 02:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,18/02/2025 21:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,18/02/2025 19:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,18/02/2025 15:00,ESPERADOS,0,PORTO_DE_PARANAGUA
UREIA,Imp,18/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,18/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,18/02/2025 09:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DIESEL,Imp,18/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
PASSAGEIROS,Imp/Exp,18/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
METANOL,Imp,18/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,17/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,17/02/2025 00:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,16/02/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,15/02/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,10/02/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OLEO DIESEL,Imp,17/02/2025 13:30,PROGRAMADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,,PROGRAMADOS,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,,PROGRAMADOS,0,PORTO_DE_PARANAGUA
METANOL,Imp,,PROGRAMADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,16/02/2025 05:42,PROGRAMADOS,0,PORTO_DE_PARANAGUA
OUT.TRIGOS E MISTURAS DE TRIGO,Imp,11/02/2025 02:48,PROGRAMADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,06/02/2025 15:36,PROGRAMADOS,0,PORTO_DE_PARANAGUA
FUEL-OIL (OLEO COMBUSTIVEL),Exp,06/02/2025 09:18,PROGRAMADOS,0,PORTO_DE_PARANAGUA
MILHO,Exp,05/02/2025 00:30,PROGRAMADOS,0,PORTO_DE_PARANAGUA
PAPEL E CELULOSE,Exp,17/02/2025,CABOTAGEM,0,PORTO_DE_SANTOS
PAPEL E CELULOSE,Exp,17/02/2025,CABOTAGEM,0,PORTO_DE_SANTOS
CARGA GERAL,Exp,26/02/2025 07:00:00,CABOTAGEM,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,11/02/2025 08:25:00,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,15/02/2025 18:30:00,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,16/02/2025 15:12:00,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,16/02/2025 18:10:00,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,16/02/2025 18:18:00,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
CONTEINERES CHEIOS CONTEINERES CHEIOS,Imp/Exp,17/02/2025,CONTEINERES,0,PORTO_DE_SANTOS
