Chegada,Status,Porto,Sentido,Quantidade
17/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
17/02/2025 07:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,1
17/02/2025 09:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp,1
17/02/2025 10:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
17/02/2025 10:42:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
17/02/2025 11:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
17/02/2025 11:15:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
17/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
17/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
17/02/2025 13:30,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,1
17/02/2025 14:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
17/02/2025 15:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
17/02/2025 15:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
17/02/2025 16:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,1
17/02/2025 22:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
17/03/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
17/03/2025 17:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
18/01/2025 09:00,ATRACADOS,PORTO_DE_PARANAGUA,Imp; Imp,2
18/02/2025,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
18/02/2025,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
18/02/2025,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,1
18/02/2025 01:00:00,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp,1
18/02/2025 05:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
18/02/2025 05:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,1
18/02/2025 06:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,1
18/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp; Imp,3
18/02/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
18/02/2025 09:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
18/02/2025 10:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp,1
18/02/2025 10:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp,2
18/02/2025 10:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
18/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp,2
18/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
18/02/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
18/02/2025 13:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,1
18/02/2025 15:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
18/02/2025 19:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
18/02/2025 21:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
18/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
19/01/2025 06:00,ATRACADOS,PORTO_DE_PARANAGUA,Imp,1
19/01/2025 19:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
19/02/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
19/02/2025 02:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
19/02/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
19/02/2025 05:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
19/02/2025 05:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,1
19/02/2025 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
19/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp; Imp/Exp; Exp; Imp,5
19/02/2025 07:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp; Exp,2
19/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp,2
19/02/2025 08:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
19/02/2025 08:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,1
19/02/2025 09:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
19/02/2025 11:48:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,1
19/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
19/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
19/02/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
19/02/2025 14:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp,2
19/02/2025 17:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
19/02/2025 18:00:00,PRIORIDADE C3,PORTO_DE_SANTOS,Exp,1
19/02/2025 19:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
19/02/2025 22:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
19/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
19/12/2024 12:30,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
20/01/2025 07:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,1
20/02/2025,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp/Exp; Exp,2
20/02/2025,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp/Exp,1
20/02/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
